	evidence_level	document_idx	title	sentences
10716	in-vitro	1264	Nobiletin, a citrus polymethoxyflavonoid, suppresses multiple angiogenesis-related endothelial cell functions and angiogenesis in vivo.	['Nobiletin is a citrus polymethoxyflavonoid that suppresses tumor growth and metastasis, both of which depend on angiogenesis.', 'We recently identified nobiletin as a cell differentiation modulator.', 'Because cell differentiation is a critical event in angiogenesis, it might be possible that nobiletin could exhibit antiangiogenic activity, resulting in suppression of these tumor malignant properties.', 'To verify this possibility, we examined the antiangiogenic effects of nobiletin in vitro and in vivo.', 'Nobiletin had concentration-dependent inhibitory effects on multiple functions of angiogenesis-related endothelial cells (EC); it suppressed the proliferation, migration and tube formation on matrigel of human umbilical vein EC (HUVEC) stimulated with endothelial cell growth supplement (ECGS), a mixture of acidic and basic fibroblast growth factors (FGFs).', 'Gelatin zymography and northern blotting revealed that nobiletin suppressed pro-matrix metalloproteinase-2 (proMMP-2) production and MMP-2 mRNA expression in ECGS-stimulated HUVEC.', 'Nobiletin also downregulated cell-associated plasminogen activator (PA) activity and urokinase-type PA mRNA expression.', 'Furthermore, nobiletin inhibited angiogenic differentiation induced by vascular endothelial growth factor and FGF, an in vitro angiogenesis model.', 'This inhibition was accompanied by downregulation of angiogenesis-related signaling molecules, such as extracellular signal-regulated kinase 1/2 and c-Jun N-terminal kinase, and transcriptional factors (c-Jun and signal transducer and activator of transcription 3), and activation of the caspase pathway.', 'In a chick embryo chorioallantoic membrane assay, nobiletin showed an antiangiogenic activity, the ID(50) value being 10microg (24.9nmol) per egg.', 'These results indicate that nobiletin is a novel antiangiogenic compound that exhibits its activity through combined inhibition of multiple angiogenic EC functions.']
7069	in-vitro	834	Trade herbal products and induction of CYP2C19 and CYP2E1 in cultured human hepatocytes.	"['The aim of this study was to evaluate in vitro the dose-dependent induction potential of six commonly used trade herbal products on CYP2C19 and CYP2E1 metabolic activities in cultured human hepatocytes.', 'S-mephenytoin and chlorzoxazone were used as specific CYP substrates, respectively, and rifampicin was used as a positive induction control for both enzymes.', 'The hepatocytes were exposed to herbal extracts in increasing and biological relevant concentrations for 72 hrs and CYP substrate metabolites were quantified by validated HPLC methodologies.', ""The major findings were that St John's wort was the most potent CYP-modulating herb, showing a dose-dependent induction/inhibition of both CYP2C19 and CYP2E1, with induction at low dosages and inhibition at higher."", ""Ginkgo biloba showed an induction/inhibition profile towards CYP2C19 which was similar but weaker than that observed for St John's wort."", 'If cooperative mechanisms are involved is still an open question.', 'Common sage induced CYP2C19 in a log-linear dose-dependent manner with increasing concentrations.', 'Common valerian was a weak inducer of CYP2C19, while horse chestnut and cone flower were characterized as non-inducers of CYP2C19.', ""Only St John's wort showed an inductive effect towards CYP2E1."", ""In addition to St John's wort, Gingko biloba and common sage should be considered as possible candidates for clinically relevant drug-herb interactions with selected CYP2C19 substra""]"
8468	in-vitro	996	Vitamin K metabolism and vitamin K1 status in human liver samples: a search for inter-individual differences in warfarin sensitivity.	['Vitamin K-dependent parameters in human liver samples were investigated to find a clue to the inter-individual differences in sensitivity for oral anticoagulants.', 'Vitamin K epoxide reductase and vitamin K-dependent carboxylase activity differed 2-3-fold between the samples.', 'Microsomal warfarin binding correlated significantly with the reductase activity.', 'Microsomal vitamin K epoxide reductase of the different samples showed equal sensitivity for warfarin inhibition, I50 about 0.1 microM.', 'Vitamin K epoxide reductase activity stimulated by NADH/lipoamide and microsomal lipoamide dehydrogenase activity showed higher inter-subject variability than the reductase activity by itself.', 'Liver vitamin K1 levels varied 4-5-fold.', 'Total and liver microsomal vitamin K1 levels were correlated.', 'One of the liver samples was obtained from a donor anticoagulated with phenprocoumon and additionally treated with vitamin K1.', 'High levels of the vitamin and its epoxide were present.', 'Phenprocoumon was essentially irreversibly bound to the microsomes.', 'In general the results confirm inter-individual differences in the hepatic vitamin K-dependent systems; the differences as such were found to be small.', 'However, as the various parameters can work synergistically in the same direction, they may well account for the wide dose range observed in oral anticoagulant ther']
4853	animal in-vivo	576	Parenteral Zinc Supplementation Increases Pregnancy Rates in Beef Cows.	['Zinc (Zn) is required for normal reproductive performance in cattle.', 'The aim of this study was to evaluate the effect of subcutaneous injection of 400 mg Zn at the beginning of fixed-time artificial insemination (FTAI) on preovulatory follicle and corpus luteum (CL) size, plasma estradiol (E2) and progesterone (P4) concentrations, and pregnancy rates in beef cows.', 'Copper (Cu) concentration and alkaline phosphatase (ALP) activity in plasma were also evaluated.', 'Zinc supplementation at the beginning of the FTAI protocol (day 0) increased the area of preovulatory follicle (APF, day 9; P = 0.042) and plasma P4 concentration (day 16; P = 0.01), whereas plasma E2 concentration (day 9) and area of CL (ACL; day 16) were not modified by Zn supplementation in cows with adequate plasma Zn concentration.', 'Zinc supplementation in Zn-deficient cows increased ACL with respect to controls (P = 0.048) but did not modify plasma E2 concentration.', 'Pregnancy rate on day 41 after FTAI was higher in cows supplemented with Zn compared with controls (80.95% and 51.61%, respectively; P = 0.042).', 'Plasma Zn and Cu concentrations on days 7, 9, and 16 were not affected by Zn supplementation.', 'In conclusion, the results obtained in the present study determined that parenteral Zn supplementation at the beginning of the FTAI protocol increased preovulatory follicle size, plasma P4 concentration, and pregnancy rates in beef c']
15879	Observational in human	1896	Adverse events among 2408 unrelated donors of peripheral blood stem cells: results of a prospective trial from the National Marrow Donor Program.	['Limited data are available describing donor adverse events (AEs) associated with filgrastim mobilized peripheral blood stem cell (PBSC) collections in unrelated volunteers.', 'We report results in 2408 unrelated PBSC donors prospectively evaluated by the National Marrow Donor Program (NMDP) between 1999 and 2004.', 'Female donors had higher rates of AEs, requiring central line placement more often (17% vs 4%, P< .001), experiencing more apheresis-related AEs (20% vs 7%, P< .001), more bone pain (odds ratio OR=1.49), and higher rates of grades II-IV and III-IV CALGB AEs (OR=2.22 and 2.32).', 'Obese donors experienced more bone pain (obese vs normal, OR=1.73) and heavy donors had higher rates of CALGB toxicities (>95 kg vs <70 kg, OR=1.49).', 'Six percent of donors experienced grade III-IV CALGB toxicities and 0.6% experienced toxicities that were considered serious and unexpected.', 'Complete recovery is universal, however, and no late AEs attributable to donation have been identified.', 'In conclusion, PBSC collection in unrelated donors is generally safe, but nearly all donors will experience bone pain, 1 in 4 will have significant headache, nausea, or citrate toxicity, and a small percentage will experience serious short-term adverse events.', 'In addition, women and larger donors are at higher risk for donation-related']
4781	in-vitro	566	Spirafolide from bay leaf (Laurus nobilis) prevents dopamine-induced apoptosis by decreasing reactive oxygen species production in human neuroblastoma SH-SY5Y cells.	"[""Reactive oxygen species (ROS) are important mediators in many neurodegenerative diseases including Alzheimer's disease and Parkinson's disease."", 'This study tested the neuroprotective effects of spirafolide, a compound purified from the leaves of Laurus nobilis L. (Lauraceae), against dopamine (DA)-induced apoptosis in human neuroblastoma SH-SY5Y cells.', 'Following a 24-h exposure of cells to DA (final conc., 0.6 mM), we observed a marked increase in apoptosis, increased generation of ROS and decreased cell viability.', 'Pretreatment of the cells for 24 h with spirafolide (0.4, 2, and 10 microM) before exposure to DA notably increased cell survival (p < 0.01) and lowered intracellular ROS levels (p < 0.01).', 'These results indicate that spirafolide has neuroprotective effects against DA toxicity.', 'These effects may contribute to the treatment of neurodegenerative diseases.']"
13700	in-vitro	1629	Cytotoxicity and genotoxicity of capsaicin in human neuroblastoma cells SHSY-5Y.	['Capsaicin, a natural product of Capsicum species, induces excitation of pain perception at nociceptive terminals.', 'Our previous studies have shown that capsaicin inhibits protein synthesis in cultured monkey kidneys cells (Vero cells) and in primoculture of rat astrocytes.', 'We have now investigated the effect of capsaicin on human neuroblastoma cells SHSY-5Y.', 'The cytotoxicity has been assessed by incorporation of (3)HL-leucine into cellular protein in the presence of capsaicin and the genotoxicity has been evaluated using the comet assay and the fragmentation assay after incubation of neuroblastoma cells with 25-100 microM capsaicin.', 'The concentration required to inhibit 50% of the protein synthesis (IC(50)) was found to be 60 microM after incubation with the toxin during one cellular cycle (5 days) of SHSY-5Y.', 'The results of the comet test and DNA fragmentation assay clearly suggest that capsaicin is able to induce DNA strand breaks already with concentrations in the range of 50 microM, corresponding to 29.3 microM of capsaicin not bound to alpha-1 acid glycoprotein.', 'Several daily topical applications of preparations containing 0.075% of capsaicin could lead to blood capsaicin concentration of this order of magnitude following transdermal passage (5% of the total quantity applied).', 'Because DNA strand breaks or DNA lesions may affect cellular functions, lead to cell death and/or mutagenesis, our data in case of inappropriate DNA repair may have important implications for the possible health threats of capsaicin, specially in the case of misuse of capsaicin preparations in pathological situati']
4749	others	561	Effects of short-term DHEA intake on hormonal responses in young recreationally trained athletes: modulation by gender.	['Dehydroepiandrosterone (DHEA) figures on the World Anti-Doping Agency list of prohibited substances in sport because it is assumed that athletes expect a significant increase in testosterone through DHEA administration.', 'The literature on the hormonal effects of DHEA intake nevertheless appears to be very scant in healthy young subjects, especially wo']
7992	RCTs	942	Reduced-energy cranberry juice increases folic acid and adiponectin and reduces homocysteine and oxidative stress in patients with the metabolic syndrome.	['The metabolic syndrome (MetS) comprises pathological conditions that include insulin resistance, arterial hypertension, visceral adiposity and dyslipidaemia, which favour the development of CVD.', 'Some reports have shown that cranberry ingestion reduces cardiovascular risk factors.', 'However, few studies have evaluated the effect of this fruit in subjects with the MetS.', 'The objective of the present study was to assess the effect of reduced-energy cranberry juice consumption on metabolic and inflammatory biomarkers in patients with the MetS, and to verify the effects of cranberry juice concomitantly on homocysteine and adiponectin levels in patients with the MetS.', 'For this purpose, fifty-six individuals with the MetS were selected and divided into two groups: control group (n 36) and cranberry-treated group (n 20).', 'After consuming reduced-energy cranberry juice (0·7 litres/d) containing 0·4mg folic acid for 60 d, the cranberry-treated group showed an increase in adiponectin (P=0·010) and folic acid (P=0·033) and a decrease in homocysteine (P<0·001) in relation to baseline values and also in comparison with the controls (P<0·05).', 'There was no significant change in the pro-inflammatory cytokines TNF-a, IL-1 and IL-6.', 'In relation to oxidative stress measurements, decreased (P<0·05) lipoperoxidation and protein oxidation levels assessed by advanced oxidation protein products were found in the cranberry-treated group when compared with the control group.', 'In conclusion, the consumption of cranberry juice for 60 d was able to improve some cardiovascular risk factors.', 'The present data reinforce the importance of the inverse association between homocysteine and adiponectin and the need for more specifically designed studies on MetS patie']
16074	animal in-vivo	1921	Effect of kaempferol on lipid peroxidation and antioxidant status in 1,2-dimethyl hydrazine induced colorectal carcinoma in rats.	['Colorectal cancer, a common cause of cancer related deaths in both sexes in western population is often due to persistent oxidative stress leading to DNA damage.', 'Antioxidants scavenge free radicals and inhibit neoplastic process.', 'Kaempferol, a flavonol widely distributed in tea, broccoli, grape fruit, brussels sprouts and apple, is claimed to have chemopreventive action in colon cancer.', 'The aim of our study was to evaluate the effect of kaempferol on tissue lipid peroxidation and antioxidant status in 1,2-dimethyl hydrazine induced colorectal cancer in male Wistar rats and to compare its efficacy with irinotecan.', 'Experimental colon cancer induced by 1,2-dimethyl hydrazine in rats mimic human colon cancer and therefore is an ideal model for chemoprevention studies.', 'The rats were divided into six groups.', 'Group 1 served as control.', 'Group 2 received 1,2-dimethyl hydrazine (20 mg/kg body weight) subcutaneously once a week for four weeks.', 'Group 3 received irinotecan (100 mg/kg body weight) intravenously once a week for four weeks with 1,2-dimethyl hydrazine.', 'Groups 4 to 6 were given a daily oral dose of 50, 100, 200 mg/kg body weight of kaempferol with 1,2-dimethyl hydrazine.', 'The total study period was 16 weeks.', 'Kaempferol supplementation lowered 1,2-dimethyl hydrazine induced erythrocyte lysate and liver thiobarbituric acid reactive substances level and rejuvenated anti oxidant enzymes catalase, super oxide dismutase and glutathione peroxidase.', 'The recovery of enzyme status was maximum at the dose of 200 mg/kg body weight and was comparable to irinotecan.', 'Our study reveals that kaempferol could be safely u']
16132	in-vitro	1926	In vitro inhibition of CYP3A4 metabolism and P-glycoprotein-mediated transport by trade herbal products.	"[""Extracts of six commonly used commercially available herbal products, St. John's wort, common valerian, common sage, Ginkgo biloba, Echinacea purpurea and horse chestnut were investigated for their in vitro inhibitory potential of CYP3A4 mediated metabolism and P-glycoprotein efflux transport activity."", 'C-DNA baculovirus expressed CYP3A4 and Caco-2 cells were used.', 'Ketoconazole and verapamil were applied as positive control inhibitors, respectively.', 'A validated high-performance liquid chromatography methodology was used to quantify the formation of 6-OH-testosterone and scintillation counting was used to quantify the transport of (3)H-digoxin.', 'All the investigated herbs inhibited CYP3A4 activity.', ""St. John's wort was the strongest inhibiting herb with an IC(50) value of 15.4 microg/ml, followed by common sage, Ginkgo biloba, common valerian, horse chestnut and Echinacea purpurea."", 'All herbs also inhibited P-glycoprotein activity.', ""Ginkgo biloba was the strongest inhibiting herb, inhibiting the net digoxin flux with an IC(50) value of 23.6 microg/ml, followed by St. John's wort, horse chestnut, common sage, common valerian and Echinacea purpurea."", 'No correlation was found between the herbs inhibitory potentials towards CYP3A4 and P-glycoprotein activities.', ""Ginkgo biloba, horse chestnut and common sage, besides St. John's wort, are suggested candidates for in vivo intestinal herb-drug pharmacokinetic interacti""]"
11397	others	1345	Dehydroepiandrosterone reduces preadipocyte proliferation via androgen receptor.	"['Several studies have suggested that both testosterone and dehydroepiandrosterone (DHEA) have weight-reducing and antidiabetic effects, especially in rodent studies; however, the precise mechanism of their action remains unclear.', 'Here, we investigated the effect of DHEA on cell growth in adipose tissue.', 'The appearance of senescence-associated beta-galactosidase in stromal vascular fraction (SVF) isolated from Otsuka Long-Evans Tokushima fatty rats, an animal model of inherent obese type 2 diabetes, was prevented by DHEA administration.', 'Next, the effects of DHEA and testosterone were compared in vivo and in vitro to evaluate whether these hormones influence cell growth in adipose tissue.', 'Both DHEA and testosterone reduced body weight and epididymal fat weight equivalently when administered for 4 wk.', ""To assess the effect of DHEA and testosterone on cell growth in adipose tissue, 5-bromo-2'-deoxyuridine (BrdU) uptake by SVF was measured."", 'Quantification analysis of BrdU uptake by examining DNA isolated from each SVF revealed that treatment with DHEA and testosterone reduced cell replication.', 'These results indicated that DHEA- and testosterone-induced decreased adiposity was associated with reduced SVF growth.', 'Incubation with DHEA and testosterone equally decreased BrdU uptake by 3T3-L1 preadipocytes.', 'Pretreatment with the androgen receptor (AR) inhibitor flutamide, but not the estrogen receptor inhibitor fulvestrant, abolished these effects.', 'Knockdown of AR with siRNA also inhibited DHEA-induced decreases in BrdU uptake.', 'These results suggest that DHEA-induced growth suppression of preadipocytes is mediated via AR.', 'Therefore, both DHEA and testosterone similarly decrease adipocyte growth possibly via a common mechan']"
13413	in-vitro	1595	Dehydroepiandrosterone activates cyclic adenosine 3',5'-monophosphate/protein kinase A signalling and suppresses sterol regulatory element-binding protein-1 expression in cultured primary chicken hepatocytes.	"['Dehydroepiandrosterone (DHEA), a steroid hormone that is secreted by the adrenal cortex in mammals, has an array of biological actions, including inhibition of fat synthesis, decreasing the number of adipocytes, and a reduction in mammalian metabolic efficiency.', 'Recent studies showed that DHEA may decrease fat deposition in poultry, but the mechanism of action is unclear.', ""In the present study, we demonstrate that DHEA stimulates intracellular cyclic adenosine 3',5'-monophosphate (cAMP) accumulation in chicken hepatocytes during a 30 min incubation period."", 'Increases in intracellular cAMP are evoked by as low as 0.1 microm-DHEA.', 'The cAMP induced by DHEA, while suppressing cAMP-specific phosphodiesterase activity, also activates cAMP-dependent protein kinase A (PKA) in chicken hepatocytes.', 'In addition, the activation of PKA leads to down-regulation of sterol regulatory element-binding protein-1 (SREBP-1).', 'These findings demonstrate that direct action by DHEA leads to activation of the cAMP/PKA signalling system in the modulation of lipid metabolism by repressing SREBP-1, thereby providing a novel explanation for some of the underlying effects proposed for DHEA in the prevention of fat deposition in poul']"
19260	in-vitro	2321	Effect of selected local medicinal plants on the asexual blood stage of chloroquine resistant Plasmodium falciparum.	['The development of resistant to current antimalarial drugs is a major challenge in achieving malaria elimination status in many countries.', 'Therefore there is a need for new antimalarial drugs.', 'Medicinal plants have always been the major source for the search of new antimalarial drugs.', 'The aim of this study was to screen selected Malaysian medicinal plants for their antiplasmodial properties.Each part of the plants were processed, defatted by hexane and sequentially extracted with dichloromethane, methanol and water.', 'The antiplasmodial activities of 54 plant extracts from 14 species were determined by Plasmodium falciparum Histidine Rich Protein II ELISA technique.', 'In order to determine the selectivity index (SI), all plant extracts demonstrating a good antiplasmodial activity were tested for their cytotoxicity activity against normal Madin-Darby Bovine Kidney (MDBK) cell lines by 3-(4, 5-Dimethylthiazol-2-yl)-2, 5-diphenyltetrazolium bromide (MTT) assay.Twenty three extracts derived from Curcuma zedoaria (rhizome), Curcuma aeruginosa (rhizome), Alpinia galanga (rhizome), Morinda elliptica (leaf), Curcuma mangga (rhizome), Elephantopus scaber (leaf), Vitex negundo (leaf), Brucea javanica (leaf, root and seed), Annona muricata (leaf), Cinnamomun iners (leaf) and Vernonia amygdalina (leaf) showed promising antiplasmodial activities against the blood stage chloroquine resistant P. falciparum (EC50 < 10 microg/ml) with negligible toxicity effect to MDBK cells in vitro (SI ≥10).The extracts belonging to eleven plant species were able to perturb the growth of chloroquine resistant P. falciparum effectively.', 'The findings justified the bioassay guided fractionation on these plants for the search of potent antimalarial compounds or formulation of standardized extracts which may enhance the antimalarial effect in vitro and in vivo.']
20163	animal in-vivo	2445	Effects of feed iodine concentrations and milk processing on iodine concentrations of cows' milk and dairy products, and potential impact on iodine intake in Swiss adults.	"['The contribution of milk and dairy products to daily iodine intake is high but variable in many industrialised countries.', 'Factors that affect iodine concentrations in milk and dairy products are only poorly understood.', 'Our aim was to: (1) assess the effect of feed iodine concentration on milk iodine by supplementing five groups of five cows each with one of five dosages from 0-2 mg iodine/kg DM; (2) quantify iodine losses during manufacturing of cheese and yogurt from milk with varying iodine concentrations and assess the effect of cellar-ripening; and (3) systematically measure iodine partitioning during heat treatment and skimming of milk.', 'Milk iodine reached a near-steady state after 3 weeks of feeding.', 'Median milk iodine (17-302 microg/l for 0-2 mg iodine/kg DM) increased linearly with feed iodine (R2 0·96; P < 0·001).', 'At curd separation, 75-84 % of iodine was lost in whey.', 'Dairy iodine increased linearly with milk iodine (semi-hard cheese: R2 0·95; P < 0·001; fresh cheese and yogurt: R2 1·00; P < 0·001), and cellar-ripening had no effect.', 'Heat treatment had no significant effect, whereas skimming increased (P < 0·001) milk iodine concentration by only 1-2 microg/l.', ""Mean daily intake of dairy products by Swiss adults is estimated at 213 g, which would contribute 13-52 % of the adults' RDA for iodine if cow feed is supplemented with 0·5-2 mg iodine/kg DM."", 'Thus, modulation of feed iodine levels can help achieve desirable iodine concentrations in milk and dairy products, and thereby optimise their contribution to human iodine nutrition to avoid both deficiency and exc']"
6708	in-vitro	792	Synergistic anticancer activity of doxorubicin and piperlongumine on DU-145 prostate cancer cells - The involvement of carbonyl reductase 1 inhibition.	"['One of the causes of therapeutic failure of chemotherapy is cancer cell resistance.', 'In the case of anthracyclines, many resistance mechanisms have been described.', 'One of them assumes the role of carbonyl reductase 1 (CBR1), a cytosolic enzyme that is responsible for the biotransformation process of anthracyclines to less active, undesirable metabolites.', 'Therefore, CBR1 inhibitors are considered for use as a chemosensitizing agents.', 'In the present study, piperlongumine (PL), a Piper longum L. alkaloid that has previously been described as a CBR1 inhibitor, was investigated for its chemosensitizing properties in co-treatment with doxorubicin (DOX).', 'The biotransformation process of DOX in the presence of PL was tracked using human cytosol fraction and LC-MS, then a molecular modeling study was conducted to predict the interaction of PL with the active site of the CBR1.', 'The biological interaction between DOX and PL was investigated using DU-145 prostate cancer cells.', 'Cytotoxic and antiproliferative properties of DOX and PL were examined, and the type and potency of interaction was quantified by Combination Index.', 'The mechanism of the cell death induced by the agents was investigated by flow cytometry and the anti-invasive properties of the drugs were determined by monitoring the movement of individual cells.', 'PL showed dose-dependent inhibition of DOX metabolism in cytosol, which resulted in less doxorubicinol (DOXol) metabolite being formed.', ""The possible mechanism of CBR1 inhibition was explained through molecular modeling studies by prediction of PL's binding mode in the active site of the enzyme's crystal structure-based model."", 'DOX and PL showed a synergistic antiproliferative and proapoptotic effect on cancer cells.', ""Significant anti-invasive properties of the combination of DOX and PL were found, but when the drugs were used separately they did not alter the cancer cells' motility."", 'Cell motility inhibition was accompanied by significant changes in cytoskeleton architecture.', 'DOX and PL used in co-treatment showed significant synergistic anticancer properties.', 'Inhibition of DOX metabolism by PL was found to be a mechanism that was lik']"
4446	animal in-vivo	525	Potential protective effect of Pistacia lentiscus oil against chlorpyrifos-induced hormonal changes and oxidative damage in ovaries and thyroid of female rats.	['The purpose of this study was to evaluate the protective effect of Pistacia lentiscus oil (PLO), known for its antioxidant properties, on chlorpyrifos (CPF)-induced alterations in the thyroid, reproductive hormone levels, and oxidative damage in the ovaries and thyroid of adult Wistar rats.', 'The animals were treated with orally administered PLO (2 mL/kg), CPF (6.75 mg/kg), and a combination of CPF and PLO for 30 days.', 'Serum levels of luteinizing hormone (LH), follicle-stimulating hormone (FSH), progesterone (Pg), estradiol (E2), triiodothyronine (T3), thyroxine (T4), and thyroid-stimulating hormone (TSH) were assessed using chemiluminescence assay.', 'Malondialdehyde (MDA), protein carbonyl (PC), and reduced glutathione (GSH) levels were examined in the ovaries and thyroid glands.', 'The oil principal volatile compounds detected by gas chromatography analysis were: myrcene, alpha-pinene and limonene (26.21, 22.66 and 10.33%, respectively).', 'No significant differences were observed between serum concentrations of TSH and FSH in the examined experimental groups.', 'However, serum concentrations of LH, E2, Pg, T3, and T4 decreased significantly in CPF-treated rats in comparison with the controls.', 'The body weight and relative weight of ovaries and thyroids in this group were also significantly reduced.', 'The MDA and PC content increased significantly, while the GSH content was markedly depressed in the thyroid and ovaries of rats treated with CPF.', 'Co-administration of PLO and CPF effectively ameliorated the adverse effects; the oxidative damage was reduced and the levels of thyroid and reproductive hormones restored to a normal range.', 'In conclusion, it appears that PLO substantially alleviates']
12431	in-vitro	1474	Triterpenoid saponins from the roots of Rosa rugosa Thunb. as rat intestinal sucrase inhibitors.	['Medicinal plants constitute an important source of potential therapeutic agents for diabetes.', 'The purpose of present study is to investigate the effect of root extract of Rosa rugosa Thunb.', 'on inhibition of sucrase related to diabetes mellitus (DM).', 'Bioassay-guided fractionation of the methanol extract led to the identification of 13 triterpenoid saponins (1-13).', 'Their structures were elucidated on the basis of extensive spectroscopic analysis, including 1D, 2D NMR, and MS.', 'The n-butanol fraction showed potent rat intestinal sucrase inhibitory activity with value of 87.62 ± 5.84 % inhibition compared to the positive control acarbose (50.96 ± 2.97 % inhibition at 0.02 mM).', 'Subsequently, compounds 11-13 (1.0 mM) exhibited significant sucrase inhibitory activity, with inhibition percentage values of 41.17 ± 3.52, 46.80 ± 4.00, and 39.39 ± 4.19 %, respectively.', 'Whereas, compounds 2-6, 8, and 10 showed moderate sucrase inhibitory activity (ranging from 13.26 ± 7.00 to 32.08 ± 6.04 % inhibition) at a same concentration.', 'The data provide a starting point for creating new sucrase inhibitors, which may be useful for the development of effective therapies for the treatment of']
9771	Observational in human	1152	Co-existing micronutrient deficiencies among stunted Cambodian infants and toddlers.	['The prevalence of malnutrition in Cambodia is among the highest in Southeast Asia, and diarrhea and pneumonia are the leading causes of death among children.', 'Whether these adverse health outcomes are associated with co-existing micronutrient deficiencies is uncertain.', 'We have determined the prevalence of anaemia, as well as iron, zinc, and vitamin A deficiency and their co-existence among stunted children (77 females; 110 males) aged 6-36 mos.', 'Non-fasting morning venipuncture blood samples were taken and analyzed for haemoglobin (Hb), serum ferritin (via IMx system), retinol (via HPLC), and Zn (via AAS), C-reactive protein (CRP) (via turbidimetry) and Hb type (AA, AE, or EE) (via Hb gel electrophoresis).', 'Children with CRP>or=5.0 mg/L (n=34) were excluded.', 'Zinc deficiency defined as serum Zn<9.9 micromol/L had the highest prevalence (73.2%), followed by anaemia (71%) (Hb<110 g/L), and then vitamin A deficiency (28.4%) (serum retinol<0.70 micromol/L).', 'Of the anaemic children, only 21% had iron deficiency anaemia, and 6% had depleted iron stores.', 'Age, log serum ferritin, and Hb type were significant predictors of Hb in the AA and AE children.', 'Serum retinol was unrelated to haemoglobin or serum zinc.', 'The prevalence of two or more micronutrient deficiencies (low Hb, serum retinol, and/or serum zinc) was 44%.', 'Nearly 10% had low values for all three indices, and 18% had just one low value.', 'In conclusion, anaemia, and deficiencies of iron, zinc, and vitamin A are severe public health problems among these stunted Cambodian children.', 'Intervention strategies addressing multiple micronutrient deficiencies are nee']
11779	animal in-vivo	1396	Relative reactivity of platelets from thrombopoietin- and interleukin-6-treated dogs.	['Previous reports have shown that interleukin-6 (IL-6) enhances the responsiveness of platelets to thrombin stimulation and has modest thrombocytopoietic effects in vivo.', 'Thrombopoietin (TPO; mpl ligand) has been shown to have dramatic thrombocytopoietic effect in vivo, but little is known of its capacity to alter platelet function.', 'In this study, a direct comparison of the effects of IL-6 and TPO on platelet function in dogs has been performed, with modest doses of TPO (1 microgram/kg/d) chosen to match or moderately exceed the platelet counts achieved with IL-6 (40 micrograms/kg/d) for 10 days.', 'Platelet responsiveness to thrombin stimulation was assessed in TPO-treated, IL-6-treated, and control dogs by flow cytometric measurement of P-selectin expression.', 'On day 5, the dose of thrombin promoting half maximal stimulation (EC50) of platelets was not significantly changed in TPO-treated dogs, whereas in IL-6-treated dogs the EC50 decreased to 73.1% +/- 6.1% (mean +/- 1 SD; n = 5) of control values (P < 0.01).', 'These experiments were performed on both gel-filtered platelets and washed whole blood, indicating that the observed changes in EC50 were caused by cytokine-mediated alteration of platelets rather than plasma components.', 'Because it has been shown that thiazole orange specifically labels a subpopulation of dog platelets that is less than 24 hours old, the thrombin responsiveness of these young, newly synthesized platelets was determined.', 'The EC50 of thiazole orange-positive platelets from IL-6-treated dogs decreased dramatically by day 5 to 46.5% +/- 13.1% (n = 4) of control values (P < 0.001), whereas TPO-treated dogs did not significantly change.', 'When TPO was directly incubated with platelets ex vivo, no effects on either thrombin-mediated P-selectin expression or adenosine diphosphate-induced fibrinogen binding were observed.', 'These data show that IL-6 alters platelet function, as measured by reactivity to thrombin, whereas TPO does not.', 'This divergence in function is observed even though TPO is equally, or more, effective at promoting platelet production under these experimental conditions.']
13689	Observational in human	1628	C-reactive protein and beta-2 microglobulin produce a simple and powerful myeloma staging system.	['Multiple myeloma (MM) staging procedures are still inadequate for detection of the optimal therapeutic procedure for an individual patient.', 'The Durie & Salmon staging system and serum beta 2-microglobulin (beta 2M) are used worldwide because of their easy clinical application.', 'Other prognostic parameters, such as myeloma cell proliferative activity, are of exceeding importance, but are not as simple as standard methods.', 'Recently, interleukin-6 (IL-6) has been shown to be a major growth factor for MM.', 'IL-6 is a pleiotropic cytokine acting on several cell lineages, and, at the hepatocyte level, stimulates the synthesis of acute phase proteins, such as the well known C-Reactive Protein (CRP).', 'Serum CRP concentration actually reflects the IL-6 activity.', 'A survival analysis carried out in 162 MM patients at diagnosis showed that serum CRP level is a highly significant prognostic factor.', 'Moreover, serum CRP was independent of serum beta 2M.', 'This feature allowed stratification of MM patients into 3 groups according to CRP and beta 2M serum levels: (1) low risk group, CRP and beta 2M less than 6 mg/L (50% of patients); (2) intermediate risk group, CRP or beta 2M greater than or equal to 6 mg/L (35% of patients); (3) high risk group, CRP and beta 2M greater than or equal to 6 mg/L (15% of patients).', 'Survival was 54, 27, and 6 months, respectively (P less than .0001).', 'We thus propose a new and powerful myeloma staging system based on simple and reliable laboratory evaluations.']
